X	FlyBase	gene	19960547	19961296	.	+	.	FBgn0031081
X	FlyBase	gene	20024349	20025098	.	+	.	FBgn0052826
X	FlyBase	gene	20050544	20051293	.	+	.	FBgn0031085
X	FlyBase	gene	20093648	20094397	.	+	.	FBgn0062565
X	FlyBase	gene	20132829	20133578	.	+	.	FBgn0031088
X	FlyBase	gene	20143189	20143938	.	-	.	FBgn0041626
X	FlyBase	gene	20110576	20111325	.	-	.	FBgn0040784
X	FlyBase	gene	20092409	20093158	.	-	.	FBgn0031086
X	FlyBase	gene	20002097	20002846	.	-	.	FBgn0031082
X	FlyBase	gene	19959404	19960153	.	-	.	FBgn0031080
X	FlyBase	gene	19910522	19911271	.	-	.	FBgn0052821
3L	FlyBase	gene	23125275	23126024	.	+	.	FBgn0053217
3L	FlyBase	gene	23150500	23151249	.	-	.	FBgn0052350
3L	FlyBase	gene	23095472	23096221	.	-	.	FBgn0024733
X	FlyBase	gene	245228	245977	.	+	.	FBgn0040372
X	FlyBase	gene	255348	255673	.	+	.	FBgn0000316
X	FlyBase	gene	278953	279702	.	+	.	FBgn0024989
X	FlyBase	gene	355759	356508	.	+	.	FBgn0004034
X	FlyBase	gene	369281	370030	.	+	.	FBgn0000022
X	FlyBase	gene	395310	396059	.	+	.	FBgn0004170
X	FlyBase	gene	408971	409720	.	+	.	FBgn0002561
X	FlyBase	gene	459997	460746	.	+	.	FBgn0000137
X	FlyBase	gene	476234	476983	.	+	.	FBgn0029522
X	FlyBase	gene	478316	479065	.	+	.	FBgn0052817
X	FlyBase	gene	481112	481861	.	+	.	FBgn0029524
X	FlyBase	gene	487128	487877	.	+	.	FBgn0023536
X	FlyBase	gene	493864	494613	.	+	.	FBgn0023534
X	FlyBase	gene	508685	509434	.	+	.	FBgn0023535
X	FlyBase	gene	493496	494245	.	-	.	FBgn0023537
X	FlyBase	gene	487582	487897	.	-	.	FBgn0029525
X	FlyBase	gene	479310	479863	.	-	.	FBgn0029523
X	FlyBase	gene	470727	471476	.	-	.	FBgn0052816
X	FlyBase	gene	294963	295712	.	-	.	FBgn0040370
X	FlyBase	gene	245857	246606	.	-	.	FBgn0040373
X	FlyBase	gene	529751	530500	.	+	.	FBgn0000108
X	FlyBase	gene	622718	623467	.	+	.	FBgn0025640
X	FlyBase	gene	624792	625246	.	+	.	FBgn0025635
X	FlyBase	gene	629023	629772	.	+	.	FBgn0001341
X	FlyBase	gene	635140	635889	.	+	.	FBgn0003575
X	FlyBase	gene	644011	644225	.	+	.	FBgn0025634
X	FlyBase	gene	644617	644760	.	+	.	FBgn0025634
X	FlyBase	gene	646554	647303	.	+	.	FBgn0025638
X	FlyBase	gene	749597	750346	.	+	.	FBgn0040383
X	FlyBase	gene	758844	759593	.	+	.	FBgn0040382
X	FlyBase	gene	769195	769944	.	+	.	FBgn0027343
X	FlyBase	gene	792397	793146	.	+	.	FBgn0025621
