P_mel_1	P_mel_2	P_mel_3	F1_mel_1	F1_mel_2	F1_mel_3	P_sim_1	P_sim_2	P_sim_3	F1_sim_1	F1_sim_2	F1_sim_3
FBgn0025366	3230.034	4075	4771	2095	2175	2148	2294	2405	2230.037	2582	2614	2521
FBgn0025373	392	427	482	263	377	307	1271	1195	1464	591	694.998	600
FBgn0025378	0	0	1	0	0	0	0	0	0	0	0	0
FBgn0025381	999	1033	1130	0	0	0	798.918	869	907	922	971	997
FBgn0025382	0	3	0	0	0	0	0	0	0	0	0	0
FBgn0025383	3	0	0	0	0	0	3	3	1	3	7	4
FBgn0025390	762.673	918	729.015	0	0	0	309	410	430	333	353	290
FBgn0025391	13	20.016	21	13	11.179	24	20	27	25	34	34	22
FBgn0025393	0	0	0	0	0	0	0	0	1	1	0	5
FBgn0025394	646.999	673.999	714.999	0	0	0	240	325	331	213	220	165
FBgn0025454	694.022	717	972.986	470	545	448	956	873.993	910	325	342	354
FBgn0025455	1556	1639	1399	627	690	470	991	1296	1288	566	584	518
FBgn0025456	331	356.999	496.001	163	221	239	352	335	351	197	193	275
FBgn0025457	291	304	354	141	119	110	368.979	318.995	370.26	142.549	187.87	175.688
FBgn0025463	806	767	1010	1	0	0	624	715	716	630	695	681
FBgn0025469	5274	5646.13	6164.452	1564	1584	1539	4675	3631.51	5166.114	1719	1839	1714.017
FBgn0025519	639	732	775	144	114	159	257	303	277	106	73	84
FBgn0025525	56	88	64	54	48	20	30	74	52	28	19	49
FBgn0025549	743	783	741	0	0	0	589	606	674	545	454	432
FBgn0025558	90	127	161	77	80	86	44	22	31	21	27	15
FBgn0025571	975	1287	1227	509	464	334	729	712	811	358	305	335
FBgn0025573	0	0	0	0	0	0	1	0	0	0	0	0
FBgn0025574	281	308	241	138	163	189	204	218	253	141	248	157
FBgn0025578	0	0	0	1	0	0	0	0	0	0	0	0
FBgn0025582	2488.948	2733.154	3344.063	1206	1203	995	1480	2112.006	1635.001	1404	1436	1205
FBgn0025583	6	30	32	7	2	2	13	8	58	5	2	4
FBgn0025592	998	1124	1296	407	465	472	560	643	613	295	274	256
FBgn0025595	6	0	3	0	0	1	4	6	5	0	2	12
FBgn0025608	1255	1263	1332	627	669	660	1166	1333	1193	598	641	605
FBgn0025612	0	1	0	0	0	0	26	7	27	7	8	3
FBgn0025613	0	0	0	0	0	0	18	9	18	0	10	0
FBgn0025615	1036	1164	1231.001	0	0	0	524	517	698	684	726	694
FBgn0025616	6	28	16	0	0	0	3	7	11	4	12	5
FBgn0025620	31.31	20	35.412	0	0	0	8	14	19	13	28	19
FBgn0025621	751	754	805	0	0	0	498	754	627	598	787	606
FBgn0025624	435	398	584	1	1	7	367	441	399	531	669	682
FBgn0025625	199	204	209	0	0	0	62	58	70	94	98	55
FBgn0025626	590	736	832	0	0	0	529	556	659	525	558	536
FBgn0025627	12	18	9	0	0	0	16	12	34	12	14	11
FBgn0025628	235.999	269	340	0	0	0	610	823	661	521.001	557	579
FBgn0025629	161	197	268	0	0	0	248	187	219	317	289	310
FBgn0025630	189	185	207	0	1	0	162	141	231.001	165	196	165
FBgn0025631	445	414	428	0	1	0	352	503	343	489	623	475
FBgn0025632	62	123	124	0	0	0	82	156	119	130	145	137
FBgn0025633	1182	1134.001	1066.999	0	0	1	763	957.05	895	729.001	704	645
FBgn0025634	158	223	245	0	0	0	225	205	214	242	206	248
FBgn0025635	325	303	336	0	0	0	146	185	165	178	153	173
FBgn0025637	1674.999	1760	2094.999	23	8	26	2027	1511.001	2146	1762	1957.287	1895
FBgn0025639	1155	1258	1189	0	0	0	697	1027	940	849.001	926.001	661.023
FBgn0025640	1326	1427	1714.064	0	0	0	1869	1803	1967	2258	2260	2144
FBgn0025641	17	16	25	0	0	0	21	11	8	28	22	13
FBgn0025642	5	14	15	0	0	0	0	0	0	0	0	0
FBgn0025643	1	4	5	0	0	0	0	7	1	1	4	0
FBgn0025644	0	0	0	0	0	0	1	0	0	0	0	0
FBgn0025645	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0025674	1081.105	1218.112	1233.955	376.082	451.316	344.71	533	514	638	229	326	250
FBgn0025676	70	104	87	26	17	17	12	2	22	9	10	8
FBgn0025678	9937.011	10049.049	12055.016	2330	2086	1336	17719.43	14708.125	19094.042	5225	4744	3910
FBgn0025679	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0025680	2025	1570	1589	1139	1091	1194	194	213	151	296	306	403
FBgn0025681	357	427	470	167	203	151	324	520	473	222	216	153
FBgn0025682	6856	5853	7092.018	1594	1465	1170	3390	3188.005	3204.006	1961	1858.005	1634
FBgn0025683	1698	1627.684	1751.001	1030	1326	1533.001	2257.003	2799.999	2433.043	1347.999	1531	1746.001
FBgn0025684	1052	1153	1144	246	248	216	1144.01	1149	1213	289	307	190
FBgn0025686	11	15	12	5	5	3	9	15	15	7	5	6
FBgn0025692	230	218	266.999	35	38	64.999	156.36	166	159.399	40	41	30
FBgn0025693	191.001	266.999	220	141	151	152	217.999	224	273	172	152	148
FBgn0025697	26.996	44.218	34.054	27.624	27.81	15.31	18	22	12	17	34	16
FBgn0025700	268	232	341	67	64	33	3308	2238	3592	123	83	59
FBgn0025702	42.001	58.999	59.999	32	9	16	58.999	132	120	16	22	18
FBgn0025709	91.001	179	266	118	109	117	571	613	737	150	169.999	124
FBgn0025712	59	57	54	19	14	22	30	37	43	21	25	24
FBgn0025716	541	487	587	220	274	260	449	433	439	290	276	250
FBgn0025720	401	387	502	152	181	206	202	179	246	147	180	175
FBgn0025724	12635.017	12430.02	12060.06	4199	4508	3518	8448.042	9732.324	9424.338	3379	3247	2729
FBgn0025725	12348.002	12074.264	11418.121	3573	3574	2657	7937.034	9104.206	9248.672	3434	3398.011	2274
FBgn0025726	258	334	337.001	25	30	20	122.005	153.006	164	101.999	98	36
FBgn0025739	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0025740	699	639	635	320	363	299	1274	1835	1613	1094	1215	1073
FBgn0025742	863	869	968	315	358	272	521	612	701	270	232	238
FBgn0025743	262	335	379	0	0	0	252	310	255	255	292	230
FBgn0025776	0	0	0	0	0	1	0	0	6	0	0	0
FBgn0025777	162.001	146	169.001	64	70	84	205	224	213	87	93	85
FBgn0025781	100	166	138	61	52	52	95	94	95	37	41	30
FBgn0025790	367	326	440	197	188	160.999	363.999	427	473	196.999	176	207
FBgn0025800	1316.001	1173	1332.139	0	1	0	741.418	1362.319	988.431	1348.639	1560.415	1520.7
FBgn0025802	360	386	311	191	249	207	364	548	437	271.009	287	212
FBgn0025807	15	19	27	3	3	0	34	25	28	2	8	7
FBgn0025808	127	101	114	35	29	32	50	30	54	21	10	23
FBgn0025809	177	259	250	0	0	0	65	44	87	84	84	64
FBgn0025814	127	148	171	0	0	0	46	40	48	45	58	48
FBgn0025815	94	98	121	0	0	0	82	85	97	115	106	104
FBgn0025820	48.999	53	96	20	32	30	37	42	76	14	20	20
FBgn0025821	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0025825	152	149	208	58	57	76	80	57.644	87	52	31	50
FBgn0025827	2	1	0	4	0	0	0	1	1	7	0	0
FBgn0025830	210	252	259	53	90	69	216	285	260	74	92	88
FBgn0025832	23	26	43	17	19	11	63	32	50	25	21	11
FBgn0025833	0	3	1	0	1	0	0	1	2	0	3	2
FBgn0025835	5.619	3.556	6.471	0	0	0	21	14	24	11	14	15
FBgn0025836	1453	1569	1477	0	3	3	1205	1829	1583.873	1650	1762	1319
FBgn0025837	0	1	2	0	0	0	60	117	88.127	109	108	68
FBgn0025838	3	0	0	0	0	0	3	0	0	7	10	3
FBgn0025839	837	813	1178	0	1	0	709	501	778	709	745	799
FBgn0025864	920	957	943	0	0	0	611	1119	832	796	897.902	713
FBgn0025865	131	147	135	43	46	47	137	238	151	74	73	67
FBgn0025866	571	675	613	292	304	311	645	1012.519	796	354	397	346
FBgn0025874	235	243	236	74	93	92	220	201	220	125	113	138
FBgn0025878	0	1	0	0	0	0	1	0	0	0	0	0
FBgn0025879	1280.05	1414	1508	453	565	590	519	832	764	549.767	656	690
FBgn0025885	731	709	763	181	262	216	3484.004	3238	3490	927	997	1001.17
FBgn0025936	1990	1939.001	2001.999	880.001	938.999	866	771	927	913	596.999	650	632.999
FBgn0026015	627	645	715	0	0	0	503	630	610	549	603	527
FBgn0026056	132	151	130	39	71	94	103	140	139	49	71	79
FBgn0026058	7	2	6	0	0	0	0	1	1	2	0	0
FBgn0026059	2169.005	2140	1877.003	1142	1251.001	897.999	1481	2244	2000.564	1160	1225	932.008
FBgn0026060	203.34	198.091	249.631	0	0	0	278	394.946	302.89	360.123	352.866	371
FBgn0026061	300	413	364.999	246	324	265	341	381	340	221	310	228
FBgn0026063	0	0	2	0	0	0	0	0	2	0	0	0
FBgn0026064	2	4	0	0	4	0	0	2	0	0	1	0
FBgn0026076	283	299.001	354	0	1	0	218	275	307	217	231	203
FBgn0026077	16.005	36	31	8	18	3	8	12	16	7	22	20
FBgn0026079	649	701	914	0	0	0	643.629	614.543	787.166	646.233	616.045	481.96
FBgn0026080	142.844	168.515	184.929	0	0	0	144	159	198	171	158	201
FBgn0026083	2132.155	2227.485	1912.071	0	1	0	1420	2383	1774	1776.001	1756.999	1194
FBgn0026084	610	669.999	835	1	0	2	1419.371	1695.457	1517.899	815.767	954.955	887.04
FBgn0026085	10	11	26	0	0	0	9	5	14	33	25	34
FBgn0026086	1140.718	1340.851	1337	5	1	0	592.591	972.131	967.573	711.364	858.594	760.503
FBgn0026088	827	871	1217	0	11	0	1083	797	1108	1104	1163	1243
FBgn0026089	278	285	407.308	0	0	0	452	360	455	427	399	354
FBgn0026090	172	202	262	0	0	0	142	149	154	182	192	159
FBgn0026136	0	2	2	0	0	0	0	0	7	0	0	0
FBgn0026143	76	73	121	0	0	0	62	95	110	101	77	109
FBgn0026144	2	0	0	0	0	0	6.097	1.127	9.387	4.647	15.62	9
FBgn0026147	331	503	593	219	188	151.999	375	357	522	177.999	176	170
FBgn0026148	10	1	11	13	7	6	43	62	65	40	26	21
FBgn0026149	130	154	164	0	0	0	180	180	233	161	204	166
FBgn0026150	581	575	713	236	218	212	293	343	368	121	139	110
FBgn0026160	692	821	785	400.999	389.515	320	384	708.999	602	351.001	328	233
FBgn0026176	7	7	11	0	0	0	9	0	1	0	1	0
FBgn0026179	944	1111	1025	371	395	318	1550.001	2577	2317.999	611	576	464.999
FBgn0026181	1385	1480	1262	0	0	0	853	1613.002	1169	1018	1242	1041
FBgn0026189	137	151.999	113	60	85	71	233	269.999	215	60	91	99
FBgn0026190	0	0	0	18	12	26	0	0	0	0	0	0
FBgn0026192	524	524	612	0	0	0	441.004	660	569	518	506	479
FBgn0026196	278	359	665	237	210	222	380	430	426	359	327	339
FBgn0026199	982.001	1040.019	930	678.999	864.999	883	641.714	824.401	829.814	481.232	562.878	690.819
FBgn0026206	671	699	701	0	0	0	402	862	598	659	655	499.002
FBgn0026207	419	418	420	149	142	181	281	265	281	123	115	144
FBgn0026238	306	351.999	330.001	111	146	132.001	262	240.001	293	128	134	121
FBgn0026239	232	277.001	329	150	191	131	161	298	266	143	180	151
FBgn0026250	5867	6378.999	6973.031	2367.999	2461	2410	5228.207	6473	5641.004	2764	2937.001	2831
FBgn0026252	1751	1872.568	2089	938	949	862	1743	2290	2132	940	905	772
FBgn0026255	15	24	21	12	13	18	54	79	65.001	23	24	21
FBgn0026257	19.2	10.094	18.197	3.21	7	2.012	10	8	19	5	4	14
FBgn0026259	2853	2886	2677	1097	1043	899	2397	3268	3019	1227	1288	1096
FBgn0026261	158	203	248	74	58	61	163	142	209	74	77	73
FBgn0026262	2723.429	2576.465	2752	1051	1307	1208	2137	2980	2746	1132.36	1223	1123
FBgn0026263	77	87	95	49	43	49	90	57	93	39	24	43
FBgn0026268	2	1	0	0	0	0	17	3	1	3	2	3
FBgn0026309	115	99	134	56	70	59	109	106	80	39	58	45
FBgn0026313	132	139.001	111.999	0	0	0	108	173	108	113	126	103
FBgn0026315	2052	1696	1701.026	470	524	553	7	12	10	11	15	10
FBgn0026316	1022	1098	1442	510	511	531	976	799	983	394	451	470
FBgn0026317	783	868	751	330	345	256	729	971	933	323	345	289
FBgn0026319	4	3	3	5	4	8	2	0	0	4	1	0
FBgn0026320	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0026323	518	636	609	0	0	1	464.051	594.227	584.471	586.471	592.125	516.924
FBgn0026324	328	338	463	123	164	135	432	367	496	215	253	277
FBgn0026326	352	349	420	169	163	150	525	568	554	183	191	153
FBgn0026361	2	1	0	1	0	2	2	1	8	5	1	2
FBgn0026369	724	730	649	389	536	398	752	1127	798	468	516	590
FBgn0026371	29.68	22.02	19.481	9.883	4.229	3.364	240.187	216.713	278.521	73.422	54.246	34.856
FBgn0026372	10340	11262	11837.007	4328	3421	3937	13056.103	14089.131	14720.499	8440	8523.867	8490.005
FBgn0026373	333	407	483	106	144	105	201	131	179	92	80	103
FBgn0026374	50	51	61	0	2	0	104	50	80	89	69	87
FBgn0026375	484	539	521.001	0	1	1	260	363	289	295	279	240
FBgn0026376	644	656.999	618	270	239	210	512	684.001	610	208	250	155
FBgn0026378	288	251	292	101	108	118	200	200	244	79	92	90
FBgn0026379	163	159	203	63	64	112	164	164	186	83	79	103
FBgn0026380	1138	1102	1411	507	466	539	1159	855	1245	459	527	462
FBgn0026384	146	175	178	49	37	23	309	387	362.058	116	132.015	93
FBgn0026385	0	0	0	0	0	0	0	0	1	0	0	0
FBgn0026386	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0026388	3	0	1	0	0	0	0	0	0	0	0	1
FBgn0026389	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0026390	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0026391	0	0	0	1	0	0	0	0	0	0	0	0
FBgn0026392	0	0	0	0	0	0	0	0	0	0	2	0
FBgn0026393	41.281	51.65	53.724	21.908	19.753	24.325	27	44	60	27	33	15
FBgn0026394	3	0	0	0	0	0	1	0	0	0	0	0
FBgn0026395	0	0	0	0	0	0	0	0	0	0	3	0
FBgn0026396	0	0	0	0	0	0	0	1	0	0	0	0
FBgn0026399	0	0	0	0	0	0	1	1	1	0	2	0
FBgn0026400	461	482	550	120	142	111	452	443	491	144	161	149
FBgn0026402	28	26	41	13	13	12	14.367	27	33.452	36	12.137	6
FBgn0026403	16	28	24	4	3	4	3	9	2	8	17	2
FBgn0026404	44	45	41	31	26	44	48	59	52	46	39	31
FBgn0026409	8663	9010.665	9906.001	3218	3348	3278.999	4586	5608.949	5170	2887	3161	2862
FBgn0026411	20	15	16	0	0	0	14	32	24	23	13	29
FBgn0026415	616	694	693	0	0	0	752	867.125	1004	939	1078	1041
FBgn0026417	32	22	36	17	16	15	31	35	45	22	24	9
FBgn0026418	2755.001	2836.001	3004.005	1004	975.998	683	2391.001	2571.999	2909	960	839.001	750
FBgn0026427	814	843	757	359	353	260	448.999	635.001	698	277.999	295	197
FBgn0026428	463	530	538.999	5	1	2	4551	5709	4548.002	8006.348	8665	8289.001
FBgn0026430	183.999	283	251	0	0	0	254	301	253.032	240	227	192
FBgn0026431	55.161	49.208	75.167	27.164	22.021	11	49.165	30.094	40	30	19.057	15
FBgn0026432	108	116	113	38	31	41	59	110	84	18	34	38
FBgn0026433	245	257	262	0	0	0	160	225	216	231	287	259
FBgn0026438	1	0	2	3	1	0	0	0	3	1	1	0
FBgn0026439	110	118	146	47	40	49	43	78	62	77	105	96
FBgn0026441	307	292	260	105	113	94	181	302	201	115	114	113
FBgn0026479	986	1112	1145	536	547	423	1020.001	1213	1170	446	469	340
FBgn0026533	1805.138	1791.996	2085.877	666.131	594.001	586.393	1632.185	1864	1830.634	803	768	837
FBgn0026562	2063.002	2663	2987	678.056	688	699	710	1141	1167	588	516	639
FBgn0026563	2	5	4	2	1	4	15	0	0	0	0	0
FBgn0026565	6	2	2	1	0	7	8	1	8	0	1	1
FBgn0026566	838	916.006	1085	387	447	428	573	478	588	313	324	272
FBgn0026573	304	364	321	192	195	201.948	203.872	270	258.229	127.999	136	139.849
FBgn0026575	632	818	764	2	4	1	375.999	612.999	523	557.015	574	318
FBgn0026576	193	154	191	96	108	96	151	150	154	103	134	136
FBgn0026577	1213.998	1167	1190	547	591	523	924	1489	1162	592	654	540
FBgn0026582	125	160	135	33	17	27	120	118	162	55	47	54
FBgn0026592	27	46	53	13	18	19	15	14	10	11	12	16
FBgn0026593	26	56	46	7	9	17	37	40	40	14	11	22
FBgn0026597	340	336.569	333	184	204	130	258.525	293.99	318.842	101.651	135.165	98.098
FBgn0026598	7.08	4.036	4.026	5	5	0	2	17	6	7	2	1
FBgn0026602	175	196	239	93	73	64	92	76	106	48	53	48
FBgn0026616	13865.258	11630.076	10234.307	3219	3121.883	2273.512	9658.248	12460.819	11765.572	2892.567	2685.834	2019.023
FBgn0026619	995	1248.999	1528.001	662	737.001	632	2841.013	2456.005	2823	1585.999	1606.001	1679.005
FBgn0026620	675.628	771.999	832	285	264	251.001	626.584	838.643	747.091	338.853	298.626	343.044
FBgn0026630	515	488	598	243	296.999	277	410.853	412	460	229	267	250
FBgn0026634	1133.62	1182.96	1218.274	424.779	407.035	403.747	997.646	1249.664	1191.021	396	383.067	416.641
FBgn0026666	119	103	108	0	1	0	120	51	151	112	117	121
FBgn0026679	518	543	560	0	0	0	392	517	487	540	619	610
FBgn0026702	115	110	170	0	0	0	311	343	333.001	273	223	182
FBgn0026713	2311	2469	2270	0	0	0	2369	3438	3147	1539	1772	1373
FBgn0026718	29	34	36	22	41	55	3	15	8	4	9	5
FBgn0026721	49	23	21	15	31	27	22	19	14	19	30	23
FBgn0026722	696	776.004	641	290	242	202	342	493	555	215	174	194
FBgn0026737	64	53	105	34	18	37	48	48	58	29	21	34
FBgn0026738	86	86	92	10	21	18	72	94	92.001	34	57	38
FBgn0026741	84	86	146	39	61	38	156	125	136	78.001	82	61
FBgn0026749	312.001	319	412	1	0	0	246	228	266	445	472	548
FBgn0026751	194	209	210	0	0	1	147	145	120	132	158	191
FBgn0026755	3	9	11	0	6	4	18	37	25	0	2	2
FBgn0026760	13	9	10	7	11	7	0	0	0	0	0	0
FBgn0026761	615	680	877	345	397	321	374	379	465.015	245	255	220
FBgn0026777	2237.337	2361	2905	1042	1137	1141	1978	1601	2144.004	697	711	708
FBgn0026787	3342.425	3434	3688.817	984	1067.098	934	2516.982	2926.774	3374	1131	1036	916
FBgn0026869	1652.775	1955.838	1521.064	723.985	891.274	694.77	1543	2087	2297	1055	1212	767
FBgn0026872	272.001	372	393	0	0	1	142	153.431	174.269	160.714	128	135.834
FBgn0026873	295	321	387	0	0	0	169	198	256	189	147	167
FBgn0026874	0	0	0	0	0	0	0	2	1	0	0	0
FBgn0026876	51	36	51	0	0	0	21	27	48	33	30	37
FBgn0026878	186	158	202	0	0	0	166.281	157.018	194.864	102	132	86.993
FBgn0027052	334	341	480	160	151	136	235	233	270	127	107	145
FBgn0027053	224	236	319	99	146	123	137	181	188	88	90	87
FBgn0027054	561	581.983	647	212	223	227	494.152	528	594.001	412	434	454
FBgn0027055	312	311	314	129	140	155	134	161	195	77	89	94
FBgn0027057	367	428	433	146	141	157	351	376	406	156	163	187
FBgn0027066	1173.001	1191.999	1440.002	358	408.999	408	1024.001	1084.999	1101	449	485.999	432
FBgn0027070	130	167	209	32	44	36	97	106	102	25	16	28
FBgn0027073	435	429	450	31	42	37	844	745	957.183	50	59	79
FBgn0027074	0	2	1	0	0	0	87	68	108	2	4	2
FBgn0027079	1593.999	1755.999	1715	577	523	395	1242.001	1405	1446	559	484	438
FBgn0027080	1066	1156	1427	467	485	567	748	836	734	715	700	760
FBgn0027081	1545.012	1717	1889	503	514	420	1839	1702	2044.036	566	609	493
FBgn0027082	90	110	105	41	39	40	62	71	89	41	53	45
FBgn0027083	81	67	118	26	24	24	37	28	40	21	19	20
FBgn0027084	1687	1739	2001	0	0	0	1750	2164.009	2079	2261	2508.001	2468.018
FBgn0027085	375	432	487	180	210	168	150	240	202	108	107	105
FBgn0027086	3107	3116	3084	1014	1142	927	1673	1875	1939	886	890	764
FBgn0027087	1320	1509.998	1688	1	5	6	1327.003	1519	1450	1220	1229	1309
FBgn0027088	1513.001	1703	1772	479	510	349.001	2659	2875	3175	1201.591	1230	965
FBgn0027090	1207	1184	1399	472	503	451	1091	1291	1239	498	548	479
FBgn0027091	477	463	599	162	130	112	799	920	887	218	182	167
FBgn0027093	608	707	802	17	13	4	877	863	952	493	430	345
FBgn0027094	1150	1236	1436	423	438	337	877	967	1085	351	363	298
FBgn0027095	2977	3185.011	3444	613.003	692	547	2616.03	1917	2779.016	691	577	558
FBgn0027101	506	529	593	233.999	256	269.001	411	479	446	217	323	279
FBgn0027106	50	57	84	0	0	0	2	0	0	0	1	0
FBgn0027107	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0027108	514	522	490.999	0	0	0	644	673	662	462	499	394
FBgn0027109	0	0	1	0	0	0	0	0	0	0	0	0
FBgn0027111	7	12	15	1	7	6	15	15	15	2	11	3
FBgn0027259	10.017	8.003	32.023	0	0	0	40	16	16	13	10	10
FBgn0027279	1442.315	1906.548	1745.326	1	2	0	1907.194	2802.237	2838.856	2387.347	2397.225	1769.131
FBgn0027280	727	766	852	0	0	0	1018	1263	1170	1634	1851	1876
FBgn0027287	17507.251	18930.164	20340.186	17	34	16	20956.062	23703.73	27118.765	22817.577	22121.926	19486.848
FBgn0027291	867	997	1140	0	0	1	749.288	766.452	933.758	762.198	768.117	670.842
FBgn0027296	98	116	120	0	0	0	173	173	163	110	95	136
FBgn0027329	692	750	919	0	0	0	712	857	800	692	621	560.483
FBgn0027330	150	203.134	299.751	0	0	0	146	171	255	234	223	209
FBgn0027334	385	443	699	0	0	0	458	377	385	827	845	966
FBgn0027335	543.001	550	529.001	0	0	1	530.001	498	556	581	689	580
FBgn0027338	2835.001	2963	3281	1528	1569.998	1333.003	2758	3662	3325.007	1757	1862	1640
FBgn0027339	983	1022	900	570	614	433	583.999	1018	901	514.001	527	401
FBgn0027342	500	507	452	0	1	0	289	451	428	317	351	316
FBgn0027343	1337	1166	1238	0	0	0	580	728	734	754	747	711
FBgn0027348	1658.043	1888	2049	355	413	375	741	546	688	87	134	80
FBgn0027356	304	510	437	233	204	209	489	671	645.01	439	433	474
FBgn0027358	344	382.913	480.208	0	0	0	76	45	69	44.915	58.982	38
FBgn0027359	464	685	830	0	0	0	167	136	177	150	162	145.996
FBgn0027360	432	492	593	279	380	346	142.799	0	248.095	25.003	0	105.63
FBgn0027363	1111	1196	1153	517	568	510	1161	1477	1339	510	495	455
FBgn0027364	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0027375	510	469	511	383	390	473	146	273	175	162	238	232
FBgn0027376	0	2	0	2	7	0	2	0	1	4	0	0
FBgn0027378	242	244	284	83	98	98	260	229	308	91	156	136
FBgn0027453	1942	1993	2045	322	246	280	2171	1926.003	2216.031	678	637	592
FBgn0027490	79	72	69	43	35	36	53	95.001	95	31	16	29
FBgn0027491	0	4	3	0	2	0	0	0	0	0	0	0
FBgn0027492	1461.027	1505	1517	579.001	706	634	1441.001	2332	1827	950	1018	925
FBgn0027493	1543	2048	2415	1510	1706	1606	1492	1565	1689	1096	1224	1102
FBgn0027494	0	0	1	0	0	0	3	1	0	0	0	0
FBgn0027495	1150	994	1152	367	363	292	642	855	841	346	339	292
FBgn0027496	5034	5234	5618	1273	1272	1265	5126.029	3739	5421.014	1250	1266	1057
FBgn0027497	819.22	797.18	858.299	284	343	283.178	580	717	741	319	339	309
FBgn0027498	50.001	81	82.999	0	0	0	29	44	60	35	33	26
FBgn0027499	631	749	566	414	573	478	718	1176	1039	561	641	539
FBgn0027500	34	66	72	14	8	22	1	4	8	0	6	3
FBgn0027503	223	249	248	86	143	92	209	297	276	108	115	84
FBgn0027504	347	442	364	167	173	156	257	359.999	290	166	193	154
FBgn0027505	1178	1236	1192	439	423	369	821	1135.001	1015	367	419	289
FBgn0027506	594.003	508	561	347	468	362	340	520	540	378	346	375
FBgn0027507	612.219	617.698	623.402	232.475	278.882	226.678	905.171	945	878	409	373	424
FBgn0027508	565	582	547	263	258	184	369	618	467	243	247	180
FBgn0027509	446	423	384	147	141	135	437	469	449	141	125	174
FBgn0027512	1591	1588	1563	467	524	396.303	1568.932	1723	1673	502	548	441
FBgn0027513	2	2	1	0	0	0	0	4	0	0	1	0
FBgn0027514	116	128.351	173.038	61	67.159	70.999	163.275	185.287	207.011	109.448	107.489	89
FBgn0027515	480	453	477	243	237	225	178	220	247	139	110	117
FBgn0027518	129	96	161	54	55	64	85	126	125	58	55	59
FBgn0027521	6.545	6.662	11.963	0	0	0	1	0	1	3	1	0
FBgn0027524	502	517	506	183	222	188	368	295	408	161	167	171
FBgn0027525	5442.622	6002.028	8012	4077	4299	4210	1776.003	2781	1821	3652	4049	3726
FBgn0027526	327.001	330	341	131	119	109	199	264	277	122	124	116
FBgn0027527	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0027528	14	3	6	0	0	0	9	18	24	6	4	6
FBgn0027529	2932	3080	2864.471	1238	1300	1154	1398.999	1709	1775	937	1131	985
FBgn0027532	1566	1349.516	1230	875	845	745	355.262	448.641	486.025	337.421	312.532	336.841
FBgn0027535	152	151	160	70	65	73	119	115	129	78	53	58
FBgn0027537	441	488	466	0	0	0	458.814	514	473	518.022	521.678	484
FBgn0027538	17	19	24	6	12	23	35	29	34	13	13	16
FBgn0027539	287	349.009	359.018	127	129	167	373	399	390	209	205	209
FBgn0027544	31	41	42	9	17	14	24.243	20	52.934	15.388	10	16.752
FBgn0027546	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0027547	2521	2735	3492.001	898	974	962	1256.049	1145	1587.838	616	573	688
FBgn0027548	475.056	499	519.1	216	204	168	333.896	468.471	443.003	160	192.823	162.946
FBgn0027549	3586	3459	3410.005	970	933	869	1605	1980	2055.001	641	629	643
FBgn0027550	31	31	31	1	3	2	4	7	5	2	3	3
FBgn0027552	685	641	898	634	683	765	1595	1543.706	1678	879	918	990
FBgn0027553	367	417	421	0	0	0	196	161	235	167	192	126
FBgn0027554	1892	2045	2146	531	622	412	2438.002	2296.749	2532.817	616	527	423
FBgn0027556	27	44	51	0	0	0	20	24	14	33	24	23
FBgn0027558	358	307	283	75	92	76	298	248	290	104	98	98
FBgn0027560	130	112	189	67	86	80	164	182	190	106	81	90
FBgn0027561	511	601	562	597	651	560	449	713.999	623.008	569.001	633	503
FBgn0027562	4	7	2	0	0	0	1	0	3	0	0	0
FBgn0027563	2	0	0	0	0	0	2	3	1	2	2	2
FBgn0027564	431	473	533	0	0	0	548	599	554	375	448	371
FBgn0027565	357	405	445	213	250	357	89	74	101	54	52	53
FBgn0027567	1492	1650	1720	398	437	343	1219	1602.013	1555	792	850	823
FBgn0027568	936	962	938	379	417	358	707	1035	812.036	436	392	349
FBgn0027569	840.001	961	979	312	351	330	705	798	872	367	417	387
FBgn0027570	647.001	741.999	668	405.999	412	427	24	23	27	42	66	36
FBgn0027572	323	376	331	112	138	132	176	149	236	81	82	86
FBgn0027574	275	289	337	119	124	99	237	250	293	152	123	92
FBgn0027575	3	5	4	2	1	4	2	1	1	1	4	0
FBgn0027579	756	800	787	415	415	370	142	162	243	132	140	167
FBgn0027580	500	568	609	468	571	569	409	572	571	203	160	169
FBgn0027581	1142	1029	1102	426	406	311	594	832	1020	435	374	300
FBgn0027582	5419	5413	4727.259	1227	1119	873	3541.328	3702	4363.177	1086	900	665
FBgn0027583	84	105	122	67	74	46	96	103	100	33	49	40
FBgn0027584	20	18	15	7	9	19	7	0	0	2	0	0
FBgn0027585	1109	1258	1052	1165	1264	1128	1041	1575	1322.98	1203	1399	1258
